Description	ID	>AT	>Cc	>So
Organisms_order_>AT_>Cc_>So	472	0	1	1
Organisms_order_>AT_>Cc_>So	479	1	1	1
Organisms_order_>AT_>Cc_>So	482	2	1	0
Organisms_order_>AT_>Cc_>So	483	0	1	0
Organisms_order_>AT_>Cc_>So	484	2	1	1
Organisms_order_>AT_>Cc_>So	486	1	1	1
Organisms_order_>AT_>Cc_>So	488	1	3	1
Organisms_order_>AT_>Cc_>So	489	1	1	0
Organisms_order_>AT_>Cc_>So	493	0	1	0
Organisms_order_>AT_>Cc_>So	499	3	0	1
Organisms_order_>AT_>Cc_>So	502	2	1	3
Organisms_order_>AT_>Cc_>So	503	0	1	0
Organisms_order_>AT_>Cc_>So	506	1	0	0
Organisms_order_>AT_>Cc_>So	508	0	0	1
Organisms_order_>AT_>Cc_>So	509	3	1	2
Organisms_order_>AT_>Cc_>So	512	2	1	1
Organisms_order_>AT_>Cc_>So	515	0	1	1
Organisms_order_>AT_>Cc_>So	518	1	0	0
Organisms_order_>AT_>Cc_>So	520	0	2	0
Organisms_order_>AT_>Cc_>So	521	2	1	1
Organisms_order_>AT_>Cc_>So	523	1	1	0
Organisms_order_>AT_>Cc_>So	524	1	1	1
Organisms_order_>AT_>Cc_>So	525	0	0	1
Organisms_order_>AT_>Cc_>So	530	0	1	1
Organisms_order_>AT_>Cc_>So	532	1	1	1
Organisms_order_>AT_>Cc_>So	533	1	0	0
Organisms_order_>AT_>Cc_>So	534	0	1	1
Organisms_order_>AT_>Cc_>So	535	0	0	1
Organisms_order_>AT_>Cc_>So	536	3	1	1
Organisms_order_>AT_>Cc_>So	539	0	1	1
Organisms_order_>AT_>Cc_>So	540	1	1	1
Organisms_order_>AT_>Cc_>So	544	3	1	1
Organisms_order_>AT_>Cc_>So	547	0	0	1
Organisms_order_>AT_>Cc_>So	548	0	0	1
Organisms_order_>AT_>Cc_>So	551	0	0	2
Organisms_order_>AT_>Cc_>So	556	3	4	1
Organisms_order_>AT_>Cc_>So	558	1	0	0
Organisms_order_>AT_>Cc_>So	563	0	1	0
Organisms_order_>AT_>Cc_>So	567	1	2	0
Organisms_order_>AT_>Cc_>So	568	2	1	0
Organisms_order_>AT_>Cc_>So	569	3	1	1
Organisms_order_>AT_>Cc_>So	572	3	1	1
Organisms_order_>AT_>Cc_>So	574	3	1	1
Organisms_order_>AT_>Cc_>So	575	0	0	1
Organisms_order_>AT_>Cc_>So	578	2	0	1
Organisms_order_>AT_>Cc_>So	579	2	1	1
Organisms_order_>AT_>Cc_>So	582	1	1	1
Organisms_order_>AT_>Cc_>So	588	0	0	1
Organisms_order_>AT_>Cc_>So	589	0	0	1
Organisms_order_>AT_>Cc_>So	590	0	1	0
Organisms_order_>AT_>Cc_>So	591	1	0	0
Organisms_order_>AT_>Cc_>So	592	0	0	1
Organisms_order_>AT_>Cc_>So	593	0	1	1
Organisms_order_>AT_>Cc_>So	596	6	1	1
Organisms_order_>AT_>Cc_>So	598	0	1	0
Organisms_order_>AT_>Cc_>So	609	0	1	0
Organisms_order_>AT_>Cc_>So	613	0	0	1
Organisms_order_>AT_>Cc_>So	619	1	0	0
Organisms_order_>AT_>Cc_>So	620	3	1	2
Organisms_order_>AT_>Cc_>So	623	0	0	1
Organisms_order_>AT_>Cc_>So	625	0	0	1
Organisms_order_>AT_>Cc_>So	626	1	0	0
Organisms_order_>AT_>Cc_>So	629	0	0	1
Organisms_order_>AT_>Cc_>So	632	1	0	0
Organisms_order_>AT_>Cc_>So	637	1	1	1
Organisms_order_>AT_>Cc_>So	641	1	0	0
Organisms_order_>AT_>Cc_>So	642	0	0	1
Organisms_order_>AT_>Cc_>So	643	1	0	0
