unspecified,records,790,sequence size, 30727978,comment,49
minimum length,number of contigs,cumulative sequence
41785,248,22.608144,
41869,247,22.566359,
41901,246,22.52449,
42226,245,22.482589,
42332,244,22.440363,
42409,243,22.398031,
42506,242,22.355622,
42914,241,22.313116,
43016,240,22.270202,
43136,239,22.227186,
43251,238,22.18405,
43259,237,22.140799,
43970,236,22.09754,
44305,235,22.05357,
44616,234,22.009265,
44648,233,21.964649,
44990,232,21.920001,
45348,231,21.875011,
45552,230,21.829663,
46078,229,21.784111,
46196,228,21.738033,
46321,227,21.691837,
46415,226,21.645516,
46793,225,21.599101,
46977,224,21.552308,
47460,223,21.505331,
47462,222,21.457871,
47474,221,21.410409,
48124,220,21.362935,
48826,219,21.314811,
49061,218,21.265985,
49062,217,21.216924,
49068,216,21.167862,
49332,215,21.118794,
49341,214,21.069462,
49589,213,21.020121,
49863,212,20.970532,
49921,211,20.920669,
50251,210,20.870748,
50311,209,20.820497,
50525,208,20.770186,
50691,207,20.719661,
50722,206,20.66897,
50963,205,20.618248,
51006,204,20.567285,
51146,203,20.516279,
51225,202,20.465133,
51545,201,20.413908,
52068,200,20.362363,
52255,199,20.310295,
52595,198,20.25804,
53227,197,20.205445,
53259,196,20.152218,
53713,195,20.098959,
53740,194,20.045246,
53839,193,19.991506,
53997,192,19.937667,
54474,191,19.88367,
54614,190,19.829196,
54773,189,19.774582,
54803,188,19.719809,
55430,187,19.665006,
55844,186,19.609576,
55881,185,19.553732,
56200,184,19.497851,
56249,183,19.441651,
56435,182,19.385402,
56475,181,19.328967,
56601,180,19.272492,
56616,179,19.215891,
56810,178,19.159275,
56959,177,19.102465,
57081,176,19.045506,
57512,175,18.988425,
58179,174,18.930913,
58187,173,18.872734,
58200,172,18.814547,
58404,171,18.756347,
58441,170,18.697943,
58562,169,18.639502,
58569,168,18.58094,
58761,167,18.522371,
58812,166,18.46361,
59360,165,18.404798,
59475,164,18.345438,
59686,163,18.285963,
59856,162,18.226277,
60093,161,18.166421,
60244,160,18.106328,
60786,159,18.046084,
60909,158,17.985298,
60988,157,17.924389,
61708,156,17.863401,
61712,155,17.801693,
61758,154,17.739981,
62113,153,17.678223,
62525,152,17.61611,
62675,151,17.553585,
62914,150,17.49091,
63552,149,17.427996,
63557,148,17.364444,
63587,147,17.300887,
64132,146,17.2373,
64803,145,17.173168,
65068,144,17.108365,
65175,143,17.043297,
65408,142,16.978122,
65597,141,16.912714,
65709,140,16.847117,
65784,139,16.781408,
65805,138,16.715624,
65844,137,16.649819,
65920,136,16.583975,
66320,135,16.518055,
66398,134,16.451735,
66683,133,16.385337,
66692,132,16.318654,
66884,131,16.251962,
67072,130,16.185078,
67081,129,16.118006,
67428,128,16.050925,
67795,127,15.983497,
67859,126,15.915702,
68258,125,15.847843,
69084,124,15.779585,
69285,123,15.710501,
69586,122,15.641216,
70220,121,15.57163,
70536,120,15.50141,
70861,119,15.430874,
71898,118,15.360013,
72171,117,15.288115,
